scope,condition,epsilon,seed,subject,regime,model,balanced_accuracy,macro_f1,advantage_over_chance,session_accuracy
utility,task_weighted_empirical,1.0,123,6,,personalized_logistic_regression,0.19791666666666669,0.19759272488227161,,
utility,task_weighted_empirical,1.0,123,7,,personalized_logistic_regression,0.2604166666666667,0.25890860519620074,,
utility,task_weighted_empirical,1.0,123,8,,personalized_logistic_regression,0.22569444444444448,0.22590595018517518,,
utility,task_weighted_empirical,1.0,123,9,,personalized_logistic_regression,0.2743055555555555,0.27337708883548867,,
utility,analytic_gaussian,1.0,456,1,,personalized_logistic_regression,0.24305555555555555,0.2437204655809307,,
utility,analytic_gaussian,1.0,456,2,,personalized_logistic_regression,0.2847222222222222,0.28337708335897266,,
utility,analytic_gaussian,1.0,456,3,,personalized_logistic_regression,0.2013888888888889,0.1987975532093179,,
utility,analytic_gaussian,1.0,456,4,,personalized_logistic_regression,0.2569444444444444,0.2577949641061235,,
utility,analytic_gaussian,1.0,456,5,,personalized_logistic_regression,0.2222222222222222,0.22253063219690855,,
utility,analytic_gaussian,1.0,456,6,,personalized_logistic_regression,0.23958333333333334,0.23672418229188852,,
utility,analytic_gaussian,1.0,456,7,,personalized_logistic_regression,0.19444444444444445,0.19170828104318016,,
utility,analytic_gaussian,1.0,456,8,,personalized_logistic_regression,0.22916666666666666,0.2270772245110974,,
utility,analytic_gaussian,1.0,456,9,,personalized_logistic_regression,0.22569444444444442,0.2264123438091632,,
utility,task_weighted_empirical,1.0,456,1,,personalized_logistic_regression,0.2534722222222222,0.2525338703396257,,
utility,task_weighted_empirical,1.0,456,2,,personalized_logistic_regression,0.2569444444444444,0.2554189278181795,,
utility,task_weighted_empirical,1.0,456,3,,personalized_logistic_regression,0.2986111111111111,0.29863773641275204,,
utility,task_weighted_empirical,1.0,456,4,,personalized_logistic_regression,0.22916666666666666,0.22660284895569677,,
utility,task_weighted_empirical,1.0,456,5,,personalized_logistic_regression,0.23611111111111113,0.2355317054858568,,
utility,task_weighted_empirical,1.0,456,6,,personalized_logistic_regression,0.23958333333333334,0.23830666443839738,,
utility,task_weighted_empirical,1.0,456,7,,personalized_logistic_regression,0.24305555555555555,0.2431334588559223,,
utility,task_weighted_empirical,1.0,456,8,,personalized_logistic_regression,0.2777777777777778,0.27778969695887773,,
utility,task_weighted_empirical,1.0,456,9,,personalized_logistic_regression,0.2673611111111111,0.2652231970292311,,
utility,analytic_gaussian,1.0,789,1,,personalized_logistic_regression,0.28125,0.2813055028690187,,
utility,analytic_gaussian,1.0,789,2,,personalized_logistic_regression,0.2847222222222222,0.284765323562257,,
utility,analytic_gaussian,1.0,789,3,,personalized_logistic_regression,0.26041666666666663,0.2592385218365062,,
utility,analytic_gaussian,1.0,789,4,,personalized_logistic_regression,0.28125,0.2780093903986787,,
utility,analytic_gaussian,1.0,789,5,,personalized_logistic_regression,0.2326388888888889,0.23033851120572685,,
utility,analytic_gaussian,1.0,789,6,,personalized_logistic_regression,0.23958333333333331,0.23605708245243126,,
utility,analytic_gaussian,1.0,789,7,,personalized_logistic_regression,0.2951388888888889,0.2951970217891966,,
utility,analytic_gaussian,1.0,789,8,,personalized_logistic_regression,0.23263888888888887,0.22638066234179877,,
utility,analytic_gaussian,1.0,789,9,,personalized_logistic_regression,0.22916666666666666,0.22802735093007867,,
utility,task_weighted_empirical,1.0,789,1,,personalized_logistic_regression,0.24652777777777776,0.2467745211621548,,
utility,task_weighted_empirical,1.0,789,2,,personalized_logistic_regression,0.2569444444444445,0.2568593361365148,,
utility,task_weighted_empirical,1.0,789,3,,personalized_logistic_regression,0.2361111111111111,0.2361109699516549,,
utility,task_weighted_empirical,1.0,789,4,,personalized_logistic_regression,0.2152777777777778,0.21223680503769987,,
utility,task_weighted_empirical,1.0,789,5,,personalized_logistic_regression,0.20833333333333331,0.20977312727398814,,
utility,task_weighted_empirical,1.0,789,6,,personalized_logistic_regression,0.2604166666666667,0.25591326620738386,,
utility,task_weighted_empirical,1.0,789,7,,personalized_logistic_regression,0.2534722222222222,0.2531994859948305,,
utility,task_weighted_empirical,1.0,789,8,,personalized_logistic_regression,0.25,0.24799594864995983,,
utility,task_weighted_empirical,1.0,789,9,,personalized_logistic_regression,0.3055555555555556,0.300749806501548,,
utility,analytic_gaussian,1.0,101112,1,,personalized_logistic_regression,0.2534722222222222,0.25371516283974027,,
utility,analytic_gaussian,1.0,101112,2,,personalized_logistic_regression,0.2951388888888889,0.29536541160819113,,
utility,analytic_gaussian,1.0,101112,3,,personalized_logistic_regression,0.2013888888888889,0.2012217905079478,,
utility,analytic_gaussian,1.0,101112,4,,personalized_logistic_regression,0.28125,0.2806590540424716,,
utility,analytic_gaussian,1.0,101112,5,,personalized_logistic_regression,0.24305555555555552,0.24021003043741684,,
